,name,address,sido,gungu
0,개포1호,서울강남구논현로16길5,서울특별시,강남구
1,논현1호,서울강남구강남대로114길15논현동,서울특별시,강남구
2,대치1호,서울강남구삼성로69길11,서울특별시,강남구
3,대치2호,"서울강남구도곡로516,삼정상가113호의1/2",서울특별시,강남구
4,삼성1호,서울강남구봉은사로451,서울특별시,강남구
5,세곡,서울강남구자곡로101강남레미안힐즈상가103호,서울특별시,강남구
6,압구정신사,"서울강남구언주로172길29,대성빌딩1층1호",서울특별시,강남구
7,역삼1호,서울강남구강남대로66길161층,서울특별시,강남구
8,일원본동,"서울강남구광평로31길27,삼성아파트상가104호",서울특별시,강남구
9,청담역,서울강남구학동로87길9진흥아파트상가,서울특별시,강남구
10,강일,서울강동구아리수로419리슈빌오피스텔,서울특별시,강동구
11,고덕1호,서울강동구고덕로61길116,서울특별시,강동구
12,길1호,서울강동구천중로201,서울특별시,강동구
13,둔촌1호,서울강동구진황도로168,서울특별시,강동구
14,명일1호,서울강동구구천면로438,서울특별시,강동구
15,성내,"서울강동구풍성로143,1층",서울특별시,강동구
16,암사1호,서울강동구올림픽로92길11,서울특별시,강동구
17,암사2호,서울강동구고덕로85,서울특별시,강동구
18,천호1호,서울강동구구천면로216,서울특별시,강동구
19,덕성여대,서울강북구삼양로525,서울특별시,강북구
20,미아1호,서울강북구삼양로128,서울특별시,강북구
21,미아역,서울강북구도봉로142,서울특별시,강북구
22,수유1호,서울강북구삼각산로119,서울특별시,강북구
23,수유역점,서울강북구한천로1016,서울특별시,강북구
24,가양,서울강서구양천로482삼부르네상스109호,서울특별시,강서구
25,강서구청,서울강서구화곡로289,서울특별시,강서구
26,까치산역,"서울강서구곰달래로125,라인씨티1층",서울특별시,강서구
27,등촌,서울강서구공항대로509,서울특별시,강서구
28,마곡1호,서울강서구강서로429마곡오드카운티1차111호,서울특별시,강서구
29,발산역,"서울강서구강서로341,1층13호",서울특별시,강서구
30,방화2호,서울강서구방화동로113-1,서울특별시,강서구
31,염창,서울강서구양천로697,서울특별시,강서구
32,화곡2호,서울강서구가로공원로227,서울특별시,강서구
33,봉천2호,서울관악구남부순환로1881,서울특별시,관악구
34,봉천3호,서울관악구봉천로604,서울특별시,관악구
35,봉천4호,서울관악구봉천로374,서울특별시,관악구
36,봉천5호,서울관악구관악로274-1,서울특별시,관악구
37,신림1호,서울관악구남부순환로161가길42,서울특별시,관악구
38,신림2호,서울관악구문성로82,서울특별시,관악구
39,신림3호,서울관악구대학길47,서울특별시,관악구
40,건대,서울광진구아차산로31길13,서울특별시,광진구
41,광장,서울특별시광진구광나루로607,서울특별시,광진구
42,구의2호,서울광진구광나루로544,서울특별시,광진구
43,자양1호,서울광진구자양번영로15,서울특별시,광진구
44,자양2호,서울광진구자양로13길40자양동,서울특별시,광진구
45,중곡1호,서울광진구능동로356,서울특별시,광진구
46,중곡2호,서울광진구영화사로62,서울특별시,광진구
47,개봉1호,서울구로구개봉로30-1,서울특별시,구로구
48,고척1호,서울구로구고척로129,서울특별시,구로구
49,구로2호,서울구로구구로중앙로18길68,서울특별시,구로구
50,구로디지털,서울구로구디지털로26길110,서울특별시,구로구
51,동양미래대학,"서울구로구중앙로8길11,106호",서울특별시,구로구
52,신도림1호,서울구로구신도림동410-1신도림6차대림@상가902동111호,서울특별시,구로구
53,오류1호,서울구로구경인로189-1,서울특별시,구로구
54,천왕역,서울구로구서해안로2264,서울특별시,구로구
55,가산디지털,서울금천구가산디지털1로165,서울특별시,금천구
56,독산1호,"서울금천구문성로7,102호,103호",서울특별시,금천구
57,시흥1호,서울금천구금하로753-1,서울특별시,금천구
58,시흥2호,서울금천구은행나무로12,서울특별시,금천구
59,공릉1호,서울노원구공릉로35길2,서울특별시,노원구
60,공릉2호,서울노원구공릉로235,서울특별시,노원구
61,상계4단지,"서울노원구동일로1356101호상계동,상계주공4단지아파트",서울특별시,노원구
